1,86.484375;2,85.25390625;3,-1.58203125;4,-39.0234375;5,12.744140625;6,-84.111328125;7,-83.232421875;8,-4.39453125;9,41.572265625;10,-14.677734375;11,-13.623046875;12,24.78515625;13,4.658203125;14,-3.955078125;15,-13.18359375;16,0.0
1,86.484375;2,85.166015625;3,-1.58203125;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.232421875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.359375;12,-49.921875;13,-85.95703125;14,-3.955078125;15,-13.359375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.375;7,-83.671875;8,-4.306640625;9,41.748046875;10,-14.677734375;11,-13.271484375;12,46.318359375;13,-77.51953125;14,-3.955078125;15,-13.53515625;16,0.087890625
1,86.572265625;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.671875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.974609375;12,46.40625;13,-49.34765625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.58203125;4,-39.111328125;5,12.744140625;6,-84.287109375;7,-83.935546875;8,-4.39453125;9,41.66015625;10,-14.853515625;11,-14.326171875;12,46.494140625;13,-93.7890625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.166015625;3,-1.58203125;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.232421875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.359375;12,-49.921875;13,-85.95703125;14,-3.955078125;15,-13.359375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.375;7,-83.671875;8,-4.306640625;9,41.748046875;10,-14.677734375;11,-13.271484375;12,46.318359375;13,-77.51953125;14,-3.955078125;15,-13.53515625;16,0.087890625
1,86.572265625;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.671875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.974609375;12,46.40625;13,-49.34765625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.58203125;4,-39.111328125;5,12.744140625;6,-84.287109375;7,-83.935546875;8,-4.39453125;9,41.66015625;10,-14.853515625;11,-14.326171875;12,46.494140625;13,-93.7890625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.166015625;3,-1.58203125;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.232421875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.359375;12,-49.921875;13,-85.95703125;14,-3.955078125;15,-13.359375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.375;7,-83.671875;8,-4.306640625;9,41.748046875;10,-14.677734375;11,-13.271484375;12,46.318359375;13,-77.51953125;14,-3.955078125;15,-13.53515625;16,0.087890625
1,86.572265625;2,85.25390625;3,-1.494140625;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.671875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.974609375;12,46.40625;13,-49.34765625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.25390625;3,-1.58203125;4,-39.111328125;5,12.744140625;6,-84.287109375;7,-83.935546875;8,-4.39453125;9,41.66015625;10,-14.853515625;11,-14.326171875;12,46.494140625;13,-93.7890625;14,-3.955078125;15,-13.7109375;16,0.087890625
1,86.484375;2,85.166015625;3,-1.58203125;4,-39.0234375;5,12.744140625;6,-84.287109375;7,-83.232421875;8,-4.39453125;9,41.66015625;10,-14.765625;11,-13.359375;12,-49.921875;13,-85.95703125;14,-3.955078125;15,-13.359375;16,0.087890625
